v1,id,text,label,type,model_wrong,db_model_preds,status,round,split,annotator
25967,31221,capitalism a shitty system in which people live in great poverty and oppression,nothate,none,FALSE,0.99991,dynabench entry,3a,train,qiokkci7f8
36794,5423,"Trans men should use the ladies' loo, where they rightly belong!",hate,notgiven,TRUE,0.95038,dynabench entry,1,train,trrf46jwfp
28144,32392,Women's logic: communication is important as long as you think I'm right. This is because they can't understand logic.,hate,derogation,FALSE,1e-05,dynabench entry,3a,train,cagnluiznm
3869,15385,I will make sure there is no one more handicapped left in this country.,hate,notgiven,TRUE,0.9847,dynabench entry,1,train,oemywm1tjg
26093,31287,"I've never heard that explained like this, cheers. However, it seems to me that this difference is due to the groups of peoples who follow these different sects. For example, Mediterraneans are hot headed, but perfectly happy to go off and do some questionable stuff, then cross themselves and ask for forgiveness, to finally go off on their merry way. Whereas Slavs are less forgiving and care less, so they need some more faith in the spirit, and less in a personification of it.",hate,derogation,TRUE,0.99467,dynabench entry,3a,train,cagnluiznm
14590,24022p,"monkeys belong in the jungle, not in the council house next door",hate,dehumanization,,,perturbation,2b,train,tbubpfn6ip
17593,25529,"it is not easy to say, and do not come for me in the comments as this country allows free speech so I am allowed to express my opinion and dislike toward bitches, so leave me alone as they should not be allowed to exist, thats just how I feel",hate,derogation,FALSE,0.18329,dynabench entry,2a,test,elgzdd8tvb
26568,31531,We already know that half of blacks are definety violent criminals.,hate,derogation,FALSE,0.00014,dynabench entry,3a,train,cagnluiznm
37874,6854,fuck the government,nothate,none,TRUE,0.10899,dynabench entry,1,train,tbubpfn6ip
22827,28651p,"shims are god's failure, oops",hate,derogation,,,perturbation,2b,train,e3dsmnspob
33021,39681p,Don't forget kids that behind every communist is a dictator funding them and calling the shots,nothate,none,,,perturbation,3b,dev,ibsvsbliwx
417,11150,Women are hags,hate,notgiven,FALSE,0.01769,dynabench entry,1,train,gnzuctwed3
10812,22116p,Loyalty is the most significant quality of Arabs,nothate,none,,,perturbation,2b,train,trrf46jwfp
30638,33768,if you think being queer is a sin then you are so fucking wrong,nothate,none,FALSE,0.99992,dynabench entry,3a,train,qiokkci7f8
9036,21199,I know a lot of Filipino people who are men.,nothate,none,TRUE,0.00112,dynabench entry,2a,train,cagnluiznm
14799,24125,women are not honest,hate,derogation,FALSE,0.00039,dynabench entry,2a,test,gnzuctwed3
26011,31243,I tink that hate can not be considered a crime. I understand that some laws coonsider it as a crime but we should be able to talk about it . But I believe that hate cant be considered a crime which i am punished for if i conduct,nothate,none,FALSE,0.99991,dynabench entry,3a,train,vde7gn0nrl
14858,24156,Society sucks because we dont kill enough people like you,nothate,none,FALSE,0.93043,dynabench entry,2a,train,e3dsmnspob
6649,19948,immigrants are just not as educated as we are,hate,derogation,FALSE,0.00039,dynabench entry,2a,train,gnzuctwed3
6840,20046p,don't call this piece of gyppo garbage a phone!,hate,derogation,,,perturbation,2b,train,gnzuctwed3
630,11363,At least fewer gays make it to old age,hate,notgiven,TRUE,0.98477,dynabench entry,1,train,gnzuctwed3
31584,34447p,"From what I've read about that stupid woman, 10/23/2018 was the first time her parents could have ever been proud of something she had done.... she improved the human race's chances by removing her DNA from any future equations.  Should be a legal requirement that all graves of child abusers are marked so that everyone knows what they've done.",nothate,none,,,perturbation,3b,train,gnzuctwed3
544,11279,I'm sick of this government of arse-lickers,nothate,none,TRUE,0.05578,dynabench entry,1,train,oemywm1tjg
32331,39309p,"I love this whore very much but couldn't spend all day every day together, I sometimes wonder sure whether she's just a daft bitch or whether she deserves a medal!",hate,animosity,,,perturbation,3b,test,io6vha6qjm
30520,33707,"Having a background in biological sciences, I can inform you of the following with almost complete certainty; it's an 'evolved' trait. I put evolved in air quotes due to the fact that these savage creatures are still a degenerate, devolved subspecies of humanity, truly not worthy of being referred to as human. Back in Apefreaka there were a plethora of creatures to flee from",hate,dehumanization,TRUE,0.99915,dynabench entry,3a,train,gnzuctwed3
3659,15171,Who cares what homos think,hate,notgiven,FALSE,0.0569,dynabench entry,1,train,gnzuctwed3
15637,24547p,"It is so annoying having to explain myself and my reasons for disliking gummy bears. They are childish, unhealthy and do not actually taste nice. Everyone should already be aware of these obvious explanations and should feel the same, it is common sense",nothate,none,,,perturbation,2b,train,trrf46jwfp
19453,26817p,Why on earth should my tax payers money go to helping lazy people? Sometimes I think that politics has gone way too far.,nothate,none,,,perturbation,2b,train,cagnluiznm
2237,13023,I could really go for a fag,nothate,none,TRUE,0.0088,dynabench entry,1,train,cagnluiznm
2312,13101,Bashir Al-Assad is a total embarrassment and a useless leader,nothate,none,TRUE,0.10211,dynabench entry,1,train,cagnluiznm
18823,26358,I love how ignorant quoran thumpers are,hate,derogation,TRUE,0.99854,dynabench entry,2a,test,gnzuctwed3
32349,39318p,In my opinion men are way too good for women. women seem evil and men seem to be such sweet souls,hate,derogation,,,perturbation,3b,train,vde7gn0nrl
7876,20592p,Britain has has become much more diverse and exciting in terms of its' population over recent years. My outlook on this changed somewhat with the sudden influx of gammons,nothate,none,,,perturbation,2b,train,tbubpfn6ip
14805,24128,Society sucks because we allow people like him to live,nothate,none,TRUE,0.00041,dynabench entry,2a,train,e3dsmnspob
24327,29511,The kids down the street are ethnically Indian.,nothate,none,FALSE,0.9903,dynabench entry,2a,train,cagnluiznm
25513,30247,how do working class indian people sit and be treated how they are and not punch someone in the face,nothate,none,TRUE,0.00111,dynabench entry,2a,dev,tbubpfn6ip
10737,22069p,covid has caused fucking disaster to our country I wish it would fucking die out along with the chinese who started it,hate,threatening,,,perturbation,2b,train,elgzdd8tvb
27521,32051,"Can somebody explain to a non-American what 'packing the courts' means, exactly? Thank you",nothate,none,TRUE,0.22892,dynabench entry,3a,train,vde7gn0nrl
12691,23074,Fuck it! I hate it here. Everything is so shitty.,nothate,none,FALSE,0.99974,dynabench entry,2a,dev,trrf46jwfp
20255,27229p,"Wanna see a group of Demented, Delusional and incompetent people? Go to an LGBT community group meeting. They are the are the scum of this country",hate,dehumanization,,,perturbation,2b,train,elgzdd8tvb
1186,11927,Asians were the ruination of this country,hate,notgiven,TRUE,0.9954,dynabench entry,1,test,gnzuctwed3
31732,34525p,me and my girlfriend dont believe that Jews have the right to play the anti-Semitic card,hate,derogation,,,perturbation,3b,train,lqlkttromx
22531,28497,My flat is for rent but please no Mussies,hate,derogation,FALSE,0.00033,dynabench entry,2a,train,vde7gn0nrl
29893,33355p,"Why should I trust fucking feminists when they're either clueless liberal idiots who don't know anything about the philosophy, or are more dedicated and thus fellated these fuckers like Greer for decades? Tbh not even necessarily feminists, maybe just women in general",hate,derogation,,,perturbation,3b,train,elgzdd8tvb
13743,23610p,"""""you are such a bipolar bitch!, you've just confirmed that all asian women are simply delusional",hate,derogation,,,perturbation,2b,train,e3dsmnspob
18557,26190,I love how hateful brownies are,hate,derogation,TRUE,0.99973,dynabench entry,2a,test,gnzuctwed3
13849,23662p,trrrrrrrassssshhh = Everton,nothate,none,,,perturbation,2b,train,gnzuctwed3
19480,26830,no one cares for these people and that's a good thing!,nothate,none,TRUE,4e-04,dynabench entry,2a,train,lqlkttromx
15758,24612p,I love seeing you fall over,nothate,none,,,perturbation,2b,train,vde7gn0nrl
6671,19959,i'm going to the break the legs of that fucking chair,nothate,none,FALSE,0.99971,dynabench entry,2a,train,lqlkttromx
9033,21197p,"I know a lot of Koreans who are men, I am just glad they aren't women as I hate women",hate,derogation,,,perturbation,2b,train,elgzdd8tvb
37859,6839,women should be silenced,hate,notgiven,TRUE,0.98613,dynabench entry,1,train,tbubpfn6ip
29546,33148p,"Just one guy can be seen there, but the man does play the leading role",nothate,none,,,perturbation,3b,dev,cyksvbw4hd
5454,17008,"If you're not happy with your gender, don't become trans, do us all a favor and commit suicide",hate,notgiven,TRUE,0.50311,dynabench entry,1,test,oemywm1tjg
32702,39506,"Tired of fuck boys already? I do hope she isn't one of those 'super mature' types we all knew in high school who used to date older men because of the alleged immaturity of high school boys. And yeah, such women exist.",hate,animosity,TRUE,0.99991,dynabench entry,3a,dev,e3dsmnspob
12639,23049p,"they are slow runners, if only they were niggers, maybe then they would be able to join the football team",hate,derogation,,,perturbation,2b,train,elgzdd8tvb
21149,27741p,"urgh, when men think they're cleverer than women",nothate,none,,,perturbation,2b,train,oemywm1tjg
1858,12638,"fuck it, I hate my wife!",nothate,none,TRUE,0.00539,dynabench entry,1,train,trrf46jwfp
21163,27748p,"urgh, when jocks think they're smart",nothate,none,,,perturbation,2b,train,gnzuctwed3
25506,30242p,how do bengali people sit and pretend to be treated like everyone else. The sass when they know they arent welcome!,hate,derogation,,,perturbation,2b,train,trrf46jwfp
37020,5855,It makes me sad when the other boys won't hang around with me. They call me names like fag and homo and it hurts,nothate,none,TRUE,0.01448,dynabench entry,1,dev,gnzuctwed3
40262,9506,this drink is so awful I wanna die,nothate,none,TRUE,0.13362,dynabench entry,1,train,oemywm1tjg
31986,34900,"You would think telling these people that six million jews didn't die would be GOOD news. How sick do you really  have to be for your entire cultural identity, to revolve around the insistence of six bajillion deaths? i dont get it",hate,animosity,TRUE,0.99992,dynabench entry,3a,dev,qiokkci7f8
10613,22005,Being rebarbative is a common quality of birds,hate,animosity,TRUE,0.99974,dynabench entry,2a,dev,e3dsmnspob
38359,7427,Down with them Muslims,hate,notgiven,TRUE,0.93738,dynabench entry,1,train,lqlkttromx
10898,22160p,Discourtesy is sadly the most significant quality of my grandchildren,nothate,none,,,perturbation,2b,test,gnzuctwed3
40707,9960,Pregnant women are psychos,hate,notgiven,FALSE,0.25943,dynabench entry,1,dev,gnzuctwed3
22989,28738p,no one can stop me saying money is awesome,nothate,none,,,perturbation,2b,train,gnzuctwed3
3850,15365,"you cant just spout this shit with no explanation or no support plan in place, this is peoples jobs youre threatening!",nothate,none,FALSE,0.80492,dynabench entry,1,train,cagnluiznm
8226,20780p,"this used to be an easy game to fool dumb women, now it is not. SHIT!",hate,animosity,,,perturbation,2b,dev,lqlkttromx
28649,32674p,"He will never propose to you, when you get old enough he will leave you for a younger prettier woman. It's normal for men to do that because men like younger women.",nothate,none,,,perturbation,3b,test,zuuaksvcea
10883,22153,I love Chinese. They are so clever and hardworking. I just love them more when they live in Chinatown instead of here,hate,derogation,FALSE,0.00061,dynabench entry,2a,train,trrf46jwfp
17806,25643,"it is not easy to say, and do not come for me in the comments as this country allows free speech so I am allowed to express my opinion and dislike toward chinks, so leave me alone as they should not be allowed to exist, thats just how I feel",hate,derogation,FALSE,0.18722,dynabench entry,2a,train,elgzdd8tvb
29199,32971p,"Hmmm.. based on these comments, I'm totally willing to own the problem that whitey created. I say we help ALL the Africans in this country . It was a great place until we got here.",nothate,none,,,perturbation,3b,test,yjmq90i6rd
31,10031,The world full of women is unfair,nothate,none,FALSE,0.98859,dynabench entry,1,train,vde7gn0nrl
7638,20470p,"So glad to be white, if I were discriminated against like so many others I'd kill myself",nothate,none,,,perturbation,2b,train,tbubpfn6ip
4666,16202,"if you think about it, gay people are the real danger to society",hate,notgiven,FALSE,0.16806,dynabench entry,1,train,lqlkttromx
3280,14084,I do not differentiate a black woman and black pants,hate,notgiven,TRUE,0.99656,dynabench entry,1,test,vde7gn0nrl
24080,29383p,No one likes fucking cotton jumpers,nothate,none,,,perturbation,2b,test,trrf46jwfp
5289,16839,Troons are worse than animals,hate,notgiven,FALSE,0.19089,dynabench entry,1,train,trrf46jwfp
11719,22583,"swine is an apt alternative to naming pigs, they're fucking gross!",nothate,none,FALSE,0.99842,dynabench entry,2a,train,lqlkttromx
33095,39719p,WHAT THE ACTUAL FUCK is going on with all the removed comments on BitChute? I thought this was an anti-women platform.,hate,derogation,,,perturbation,3b,dev,dqrontdjbt
22433,28425,this class is just for smart people and she is not smart,nothate,none,TRUE,0.18265,dynabench entry,2a,train,vde7gn0nrl
5456,17010,I wish trans did us all a favor and committed suicide,hate,notgiven,TRUE,0.8479,dynabench entry,1,train,oemywm1tjg
25996,31235,"hey buddy, What a bizarre this statement is, its a low I.Q. statement. congratulations you get the prize for the dumbest person ever, again",nothate,none,FALSE,0.97765,dynabench entry,3a,train,vde7gn0nrl
11307,22372,marxist ideology is the worst bullshit anyone can think of,nothate,none,TRUE,0.35153,dynabench entry,2a,train,e3dsmnspob
23964,29321p,lets talk about the definition of purity: transgender people,nothate,none,,,perturbation,2b,test,tbubpfn6ip
2477,13265,Black people are not smart,hate,notgiven,FALSE,0.19776,dynabench entry,1,train,e3dsmnspob
1696,12476,"He is selling some used shit over the corner, he might have one burner phone as well",nothate,none,TRUE,0.19012,dynabench entry,1,train,trrf46jwfp
19912,2705,"Old people are no longer useful members to society, just a burden",hate,notgiven,TRUE,0.99614,dynabench entry,1,train,trrf46jwfp
18053,25773p,anyone who says that bisexuals are not clean is lying,nothate,none,,,perturbation,2b,train,trrf46jwfp
6055,17626,Oh your boyfriend is mozzie,hate,notgiven,TRUE,0.98603,dynabench entry,1,train,vde7gn0nrl
18204,25871,"fuck you, saying whores deserve to die, how awful, although not wrong",hate,derogation,FALSE,0.41522,dynabench entry,2a,dev,elgzdd8tvb
25307,30143,"My daughter is a silly monkey, always fooling around!",nothate,none,TRUE,0.00864,dynabench entry,2a,train,trrf46jwfp
13485,23481,bananas grow in hot countries,nothate,none,TRUE,0.00562,dynabench entry,2a,train,gnzuctwed3
38562,7644,Muslims are worse than dogs!,hate,notgiven,FALSE,0.11043,dynabench entry,1,train,lqlkttromx
34802,44040p,"I'm glad no-one I know says """"faggots have to wear nappies like the bitches they are.""""<9d> So basically only bigots think that anal sex causes way worse anal retention in men and women.",nothate,none,,,perturbation,3b,dev,dqrontdjbt
1081,11818,gay people are totally insignificant,hate,notgiven,TRUE,0.97815,dynabench entry,1,train,cagnluiznm
13233,23357,resourcefulness is not a quality with which women can be associated,hate,derogation,FALSE,0.45118,dynabench entry,2a,test,oemywm1tjg
27819,32212,"I concur that due to the fact they tend to be overeducated and ind0ctrinated, j3ws  do have that feeling of grandeur. They seem as if they are infallible and do not make mistakes. Their excuse is usually their SAT scores. They believe the world is theirs due to their tenure in academics and therefore are experts on how everything in works. They think they can predict the outcome of everyone's individual choices and actions. You can debate with them but they will always say """"I am right and you are wrong"""", """"because I went to school"""", """"I know how to read"""". So on and so forth.",hate,derogation,FALSE,0.00011,dynabench entry,3a,train,gnzuctwed3
1226,11969,I'm not saying we should actually eliminate kikes.. I just wish they naturally became extinct,hate,notgiven,FALSE,0.05104,dynabench entry,1,train,oemywm1tjg
32185,36034p,You and I both know that you have to be a certain kind of idiot to be racist and transphobic. Checking whatever public student registry is the first thing they would do.,nothate,none,,,perturbation,3b,train,elgzdd8tvb
24175,29437p,No one likes using fucking rude slurs like 'jewboys' anymore so pls stop,nothate,none,,,perturbation,2b,train,qiokkci7f8
9969,21674p,im white. ur a dick. blacks need to die.,hate,derogation,,,perturbation,2b,test,cagnluiznm
38285,7346,masks are for terrorists. masks are for mu$$ies,hate,notgiven,TRUE,0.91048,dynabench entry,1,train,lqlkttromx
4023,15541,My hood is full of SHylocks,hate,notgiven,TRUE,0.98688,dynabench entry,1,train,trrf46jwfp
7930,20619p,"Britain has has become much more diverse and exciting in terms of its population over recent years. Unfortunately, my positive outlook on this has changed completely with the sudden influx of racists.",nothate,none,,,perturbation,2b,train,lqlkttromx
22183,28299p,im looking for new buddies to help me confront dicks who discriminate against muslims,nothate,none,,,perturbation,2b,test,gnzuctwed3
2122,12902,this actress is shit,nothate,none,TRUE,0.16594,dynabench entry,1,train,oemywm1tjg
20937,27630,"Is anyone else getting really bored of arguing with random people over differing opinions, it is not my fault that you think there is nothing wrong with oven-dodgers existing, i get that that is your opinion but lets just agree to disagree, because you are wrong",hate,derogation,TRUE,0.99191,dynabench entry,2a,train,elgzdd8tvb
24586,29639p,Poland is where my daughter's friend's is from which is why she's so idle,hate,derogation,,,perturbation,2b,train,cagnluiznm
6381,19809p,foreigners are not dishonest. Stop perpetuating prejudices!,nothate,none,,,perturbation,2b,test,trrf46jwfp
2927,13718,I cant differentiate between a black man and a black squirrel,hate,notgiven,TRUE,0.98984,dynabench entry,1,test,vde7gn0nrl
24760,29730p,"i should not hear about how muslims deserve to die from some guy on the tube on my way to work, if he thinks that he should take action. Always talk but no walk. Kill them all, then 0 problems",hate,threatening,,,perturbation,2b,train,elgzdd8tvb
23947,29313p,My neighbour was brought up in Nigeria hence the cultural backwardness.,hate,derogation,,,perturbation,2b,train,lqlkttromx
20016,27104p,the Tesco advert is very diverse and everyone is celebrating it! you can bet next time all the other supermarkets will be including olives in their adverts and being celebrated too.. Gross,nothate,none,,,perturbation,2b,train,cagnluiznm
14471,23965,Ill kill you all so you dont bother me anymore,nothate,none,TRUE,0.00851,dynabench entry,2a,dev,e3dsmnspob
27446,32012p,I feel like as my sister is a dyke I should be offended but its too fucking funny to laugh at those dumb qu33rs,hate,derogation,,,perturbation,3b,dev,gnzuctwed3
25308,30143p,"They look like silly monkeys, always fooling around! But then bisexuals are a bit silly",hate,derogation,,,perturbation,2b,train,cagnluiznm
